,Unnamed: 0,text
190,190,your cases have indeed been of the greatest interest to me i observed
191,191,you will remember that i remarked the other day just before we went into the very simple problem presented by miss mary sutherland that for strange effects and extraordinary combinations we must go to life itself which is always far more daring than any effort of the imagination
192,192,a proposition which i took the liberty of doubting
193,193,you did doctor but none the less you must come round to my view for otherwise i shall keep on piling fact upon fact on you until your reason breaks down under them and acknowledges me to be right now mr jabez wilson here has been good enough to call upon me this morning and to begin a narrative which promises to be one of the most singular which i have listened to for some time you have heard me remark that the strangest and most unique things are very often connected not with the larger but with the smaller crimes and occasionally indeed where there is room for doubt whether any positive crime has been committed as far as i have heard it is impossible for me to say whether the present case is an instance of crime or not but the course of events is certainly among the most singular that i have ever listened to perhaps mr wilson you would have the great kindness to recommence your narrative i ask you not merely because my friend dr watson has not heard the opening part but also because the peculiar nature of the story makes me anxious to have every possible detail from your lips as a rule when i have heard some slight indication of the course of events i am able to guide myself by the thousands of other similar cases which occur to my memory in the present instance i am forced to admit that the facts are to the best of my belief unique
194,194,your hands my dear sir your right hand is quite a size larger than your left you have worked with it and the muscles are more developed
195,195,well the snuff then and the freemasonry
196,196,i wont insult your intelligence by telling you how i read that especially as rather against the strict rules of your order you use an arcandcompass breastpin
197,197,ah of course i forgot that but the writing
198,198,what else can be indicated by that right cuff so very shiny for five inches and the left one with the smooth patch near the elbow where you rest it upon the desk
199,199,well but china
200,200,the fish that you have tattooed immediately above your right wrist could only have been done in china i have made a small study of tattoo marks and have even contributed to the literature of the subject that trick of staining the fishes scales of a delicate pink is quite peculiar to china when in addition i see a chinese coin hanging from your watchchain the matter becomes even more simple
201,201,i took the paper from him and read as follows
202,202,to the redheaded league on account of the bequest of the late ezekiah hopkins of lebanon pennsylvania u s a there is now another vacancy open which entitles a member of the league to a salary of  a week for purely nominal services all redheaded men who are sound in body and mind and above the age of twentyone years are eligible apply in person on monday at eleven oclock to duncan ross at the offices of the league  popes court fleet street
203,203,what on earth does this mean i ejaculated after i had twice read over the extraordinary announcement
204,204,it is the morning chronicle of april   just two months ago
205,205,very good now mr wilson
206,206,what is the name of this obliging youth asked sherlock holmes
207,207,his name is vincent spaulding and hes not such a youth either its hard to say his age i should not wish a smarter assistant mr holmes and i know very well that he could better himself and earn twice what i am able to give him but after all if he is satisfied why should i put ideas in his head
208,208,why indeed you seem most fortunate in having an employe who comes under the full market price it is not a common experience among employers in this age i dont know that your assistant is not as remarkable as your advertisement
209,209,he is still with you i presume
210,210," i wish to the lord mr wilson that i was a redheaded man

 why that i asks"
211,211," have you never heard of the league of the redheaded men he asked with his eyes open

 never"
212,212," why i wonder at that for you are eligible yourself for one of the vacancies

 and what are they worth i asked"
213,213,"your experience has been a most entertaining one remarked holmes as his client paused and refreshed his memory with a huge pinch of snuff ""pray continue your very interesting statement"""
214,214," my name said he is mr duncan ross and i am myself one of the pensioners upon the fund left by our noble benefactor are you a married man mr wilson have you a family

i answered that i had not"
215,215," what would be the hours i asked

 ten to two"
216,216," is  a week

 and the work"
217,217," is purely nominal

 what do you call purely nominal"
218,218," no excuse will avail said mr duncan ross neither sickness nor business nor anything else there you must stay or you lose your billet

 and the work"
219,219,eight weeks passed away like this and i had written about abbots and archery and armour and architecture and attica and hoped with diligence that i might get on to the bs before very long it cost me something in foolscap and i had pretty nearly filled a shelf with my writings and then suddenly the whole business came to an end
220,220,to an end
221,221,yes sir and no later than this morning i went to my work as usual at ten oclock but the door was shut and locked with a little square of cardboard hammered on to the middle of the panel with a tack here it is and you can read for yourself
222,222,he held up a piece of white cardboard about the size of a sheet of notepaper it read in this fashion
223,223,the redheaded league
224,224,is
225,225,dissolved
226,226," what the redheaded man

 yes"
227,227," oh said he his name was william morris he was a solicitor and was using my room as a temporary convenience until his new premises were ready he moved out yesterday

 where could i find him"
228,228,and what did you do then asked holmes
229,229,i went home to saxecoburg square and i took the advice of my assistant but he could not help me in any way he could only say that if i waited i should hear by post but that was not quite good enough mr holmes i did not wish to lose such a place without a struggle so as i had heard that you were good enough to give advice to poor folk who were in need of it i came right away to you
230,230,no sir but i want to find out about them and who they are and what their object was in playing this prankif it was a prankupon me it was a pretty expensive joke for them for it cost them two and thirty pounds
231,231,we shall endeavour to clear up these points for you and first one or two questions mr wilson this assistant of yours who first called your attention to the advertisementhow long had he been with you
232,232,about a month then
233,233,how did he come
234,234,in answer to an advertisement
235,235,was he the only applicant
236,236,no i had a dozen
237,237,why did you pick him
238,238,because he was handy and would come cheap
239,239,at half wages in fact
240,240,yes
241,241,what is he like this vincent spaulding
242,242,small stoutbuilt very quick in his ways no hair on his face though hes not short of thirty has a white splash of acid upon his forehead
243,243,yes sir he told me that a gipsy had done it for him when he was a lad
244,244,oh yes sir i have only just left him
245,245,and has your business been attended to in your absence
246,246,nothing to complain of sir theres never very much to do of a morning
247,247,that will do mr wilson i shall be happy to give you an opinion upon the subject in the course of a day or two today is saturday and i hope that by monday we may come to a conclusion
248,248,"i make nothing of it i answered frankly ""it is a most mysterious business"""
249,249,what are you going to do then i asked
250,250,i have nothing to do today my practice is never very absorbing
251,251,then put on your hat and come i am going through the city first and we can have some lunch on the way i observe that there is a good deal of german music on the programme which is rather more to my taste than italian or french it is introspective and i want to introspect come along
252,252,not him
253,253,what then
254,254,the knees of his trousers
255,255,and what did you see
256,256,what i expected to see
257,257,why did you beat the pavement
258,258,my dear doctor this is a time for observation not for talk we are spies in an enemys country we know something of saxecoburg square let us now explore the parts which lie behind it
259,259,you want to go home no doubt doctor he remarked as we emerged
260,260,yes it would be as well
261,261,and i have some business to do which will take some hours this business at coburg square is serious
262,262,why serious
263,263,a considerable crime is in contemplation i have every reason to believe that we shall be in time to stop it but today being saturday rather complicates matters i shall want your help tonight
264,264,at what time
265,265,ten will be early enough
266,266,i shall be at baker street at ten
267,267,"were hunting in couples again doctor you see said jones in his consequential way ""our friend here is a wonderful man for starting a chase all he wants is an old dog to help him to do the running down"""
268,268,i hope a wild goose may not prove to be the end of our chase observed mr merryweather gloomily
269,269,john clay the murderer thief smasher and forger hes a young man mr merryweather but he is at the head of his profession and i would rather have my bracelets on him than on any criminal in london hes a remarkable man is young john clay his grandfather was a royal duke and he himself has been to eton and oxford his brain is as cunning as his fingers and though we meet signs of him at every turn we never know where to find the man himself hell crack a crib in scotland one week and be raising money to build an orphanage in cornwall the next ive been on his track for years and have never set eyes on him yet
270,270,i hope that i may have the pleasure of introducing you tonight ive had one or two little turns also with mr john clay and i agree with you that he is at the head of his profession it is past ten however and quite time that we started if you two will take the first hansom watson and i will follow in the second
271,271,sherlock holmes was not very communicative during the long drive and lay back in the cab humming the tunes which he had heard in the afternoon we rattled through an endless labyrinth of gaslit streets until we emerged into farrington street
272,272,you are not very vulnerable from above holmes remarked as he held up the lantern and gazed about him
273,273,"it is our french gold whispered the director ""we have had several warnings that an attempt might be made upon it"""
274,274,your french gold
275,275,yes we had occasion some months ago to strengthen our resources and borrowed for that purpose  napoleons from the bank of france it has become known that we have never had occasion to unpack the money and that it is still lying in our cellar the crate upon which i sit contains  napoleons packed between layers of lead foil our reserve of bullion is much larger at present than is usually kept in a single branch office and the directors have had misgivings upon the subject
276,276,and sit in the dark
277,277,i am afraid so i had brought a pack of cards in my pocket and i thought that as we were a partie carree you might have your rubber after all but i see that the enemys preparations have gone so far that we cannot risk the presence of a light and first of all we must choose our positions these are daring men and though we shall take them at a disadvantage they may do us some harm unless we are careful i shall stand behind this crate and do you conceal yourselves behind those then when i flash a light upon them close in swiftly if they fire watson have no compunction about shooting them down
278,278,i have an inspector and two officers waiting at the front door
279,279,then we have stopped all the holes and now we must be silent and wait
280,280,"its no use john clay said holmes blandly ""you have no chance at all"""
281,281,there are three men waiting for him at the door said holmes
282,282,oh indeed you seem to have done the thing very completely i must compliment you
283,283,"and i you holmes answered ""your redheaded idea was very new and effective"""
284,284,"youll see your pal again presently said jones ""hes quicker at climbing down holes than i am just hold out while i fix the derbies"""
285,285,that is better said john clay serenely he made a sweeping bow to the three of us and walked quietly off in the custody of the detective
286,286,but how could you guess what the motive was
287,287,and how could you tell that they would make their attempt tonight i asked
288,288,well when they closed their league offices that was a sign that they cared no longer about mr jabez wilsons presencein other words that they had completed their tunnel but it was essential that they should use it soon as it might be discovered or the bullion might be removed saturday would suit them better than any other day as it would give them two days for their escape for all these reasons i expected them to come tonight
289,289,and you are a benefactor of the race said i
290,290,adventure  iii  a case of identity
291,291,it was from the reigning family of holland though the matter in which i served them was of such delicacy that i cannot confide it even to you who have been good enough to chronicle one or two of my little problems
292,292,and have you any on hand just now i asked with interest
293,293,some ten or twelve but none which present any feature of interest they are important you understand without being interesting indeed i have found that it is usually in unimportant matters that there is a field for the observation and for the quick analysis of cause and effect which gives the charm to an investigation the larger crimes are apt to be the simpler for the bigger the crime the more obvious as a rule is the motive in these cases save for one rather intricate matter which has been referred to me from marseilles there is nothing which presents any features of interest it is possible however that i may have something better before very many minutes are over for this is one of my clients or i am much mistaken
294,294,i came to you sir because i heard of you from mrs etherege whose husband you found so easy when the police and everyone had given him up for dead oh mr holmes i wish you would do as much for me im not rich but still i have a hundred a year in my own right besides the little that i make by the machine and i would give it all to know what has become of mr hosmer angel
295,295,yes my stepfather i call him father though it sounds funny too for he is only five years and two months older than myself
296,296,and your mother is alive
297,297,oh yes mother is alive and well i wasnt best pleased mr holmes when she married again so soon after fathers death and a man who was nearly fifteen years younger than herself father was a plumber in the tottenham court road and he left a tidy business behind him which mother carried on with mr hardy the foreman but when mr windibank came he made her sell the business for he was very superior being a traveller in wines they got  for the goodwill and interest which wasnt near as much as father could have got if he had been alive
298,298,oh no sir it is quite separate and was left me by my uncle ned in auckland it is in new zealand stock paying   per cent two thousand five hundred pounds was the amount but i can only touch the interest
299,299,i could do with much less than that mr holmes but you understand that as long as i live at home i dont wish to be a burden to them and so they have the use of the money just while i am staying with them of course that is only just for the time mr windibank draws my interest every quarter and pays it over to mother and i find that i can do pretty well with what i earn at typewriting it brings me twopence a sheet and i can often do from fifteen to twenty sheets in a day
300,300,oh well he was very good about it he laughed i remember and shrugged his shoulders and said there was no use denying anything to a woman for she would have her way
301,301,i see then at the gasfitters ball you met as i understand a gentleman called mr hosmer angel
302,302,yes sir i met him that night and he called next day to ask if we had got home all safe and after that we met himthat is to say mr holmes i met him twice for walks but after that father came back again and mr hosmer angel could not come to the house any more
303,303,no
304,304,well you know father didnt like anything of the sort he wouldnt have any visitors if he could help it and he used to say that a woman should be happy in her own family circle but then as i used to say to mother a woman wants her own circle to begin with and i had not got mine yet
305,305,but how about mr hosmer angel did he make no attempt to see you
306,306,well father was going off to france again in a week and hosmer wrote and said that it would be safer and better not to see each other until he had gone we could write in the meantime and he used to write every day i took the letters in in the morning so there was no need for father to know
307,307,were you engaged to the gentleman at this time
308,308,oh yes mr holmes we were engaged after the first walk that we took hosmermr angelwas a cashier in an office in leadenhall streetand
309,309,what office
310,310,thats the worst of it mr holmes i dont know
311,311,where did he live then
312,312,he slept on the premises
313,313,and you dont know his address
314,314,noexcept that it was leadenhall street
315,315,where did you address your letters then
316,316,to the leadenhall street post office to be left till called for he said that if they were sent to the office he would be chaffed by all the other clerks about having letters from a lady so i offered to typewrite them like he did his but he wouldnt have that for he said that when i wrote them they seemed to come from me but when they were typewritten he always felt that the machine had come between us that will just show you how fond he was of me mr holmes and the little things that he would think of
317,317,"it was most suggestive said holmes ""it has long been an axiom of mine that the little things are infinitely the most important can you remember any other little things about mr hosmer angel"""
318,318,he was a very shy man mr holmes he would rather walk with me in the evening than in the daylight for he said that he hated to be conspicuous very retiring and gentlemanly he was even his voice was gentle hed had the quinsy and swollen glands when he was young he told me and it had left him with a weak throat and a hesitating whispering fashion of speech he was always well dressed very neat and plain but his eyes were weak just as mine are and he wore tinted glasses against the glare
319,319,well and what happened when mr windibank your stepfather returned to france
320,320,mr hosmer angel came to the house again and proposed that we should marry before father came back he was in dreadful earnest and made me swear with my hands on the testament that whatever happened i would always be true to him mother said he was quite right to make me swear and that it was a sign of his passion mother was all in his favour from the first and was even fonder of him than i was then when they talked of marrying within the week i began to ask about father but they both said never to mind about father but just to tell him afterwards and mother said she would make it all right with him i didnt quite like that mr holmes it seemed funny that i should ask his leave as he was only a few years older than me but i didnt want to do anything on the sly so i wrote to father at bordeaux where the company has its french offices but the letter came back to me on the very morning of the wedding
321,321,it missed him then
322,322,yes sir for he had started to england just before it arrived
323,323,ha that was unfortunate your wedding was arranged then for the friday was it to be in church
324,324,yes sir but very quietly it was to be at st saviours near kings cross and we were to have breakfast afterwards at the st pancras hotel hosmer came for us in a hansom but as there were two of us he put us both into it and stepped himself into a fourwheeler which happened to be the only other cab in the street we got to the church first and when the fourwheeler drove up we waited for him to step out but he never did and when the cabman got down from the box and looked there was no one there the cabman said that he could not imagine what had become of him for he had seen him get in with his own eyes that was last friday mr holmes and i have never seen or heard anything since then to throw any light upon what became of him
325,325,it seems to me that you have been very shamefully treated said holmes
326,326,oh no sir he was too good and kind to leave me so why all the morning he was saying to me that whatever happened i was to be true and that even if something quite unforeseen occurred to separate us i was always to remember that i was pledged to him and that he would claim his pledge sooner or later it seemed strange talk for a weddingmorning but what has happened since gives a meaning to it
327,327,most certainly it does your own opinion is then that some unforeseen catastrophe has occurred to him
328,328,yes sir i believe that he foresaw some danger or else he would not have talked so and then i think that what he foresaw happened
329,329,but you have no notion as to what it could have been
330,330,none
331,331,one more question how did your mother take the matter
332,332,she was angry and said that i was never to speak of the matter again
333,333,and your father did you tell him
334,334,yes and he seemed to think with me that something had happened and that i should hear of hosmer again as he said what interest could anyone have in bringing me to the doors of the church and then leaving me now if he had borrowed my money or if he had married me and got my money settled on him there might be some reason but hosmer was very independent about money and never would look at a shilling of mine and yet what could have happened and why could he not write oh it drives me halfmad to think of it and i cant sleep a wink at night she pulled a little handkerchief out of her muff and began to sob heavily into it
335,335,then you dont think ill see him again
336,336,i fear not
337,337,then what has happened to him
338,338,you will leave that question in my hands i should like an accurate description of him and any letters of his which you can spare
339,339,"i advertised for him in last saturdays chronicle said she ""here is the slip and here are four letters from him"""
340,340,thank you and your address
341,341,no  lyon place camberwell
342,342,mr angels address you never had i understand where is your fathers place of business
343,343,he travels for westhouse  marbank the great claret importers of fenchurch street
344,344,thank you you have made your statement very clearly you will leave the papers here and remember the advice which i have given you let the whole incident be a sealed book and do not allow it to affect your life
345,345,you are very kind mr holmes but i cannot do that i shall be true to hosmer he shall find me ready when he comes back
346,346,you appeared to read a good deal upon her which was quite invisible to me i remarked
347,347,not invisible but unnoticed watson you did not know where to look and so you missed all that was important i can never bring you to realise the importance of sleeves the suggestiveness of thumbnails or the great issues that may hang from a bootlace now what did you gather from that womans appearance describe it
348,348,well she had a slatecoloured broadbrimmed straw hat with a feather of a brickish red her jacket was black with black beads sewn upon it and a fringe of little black jet ornaments her dress was brown rather darker than coffee colour with a little purple plush at the neck and sleeves her gloves were greyish and were worn through at the right forefinger her boots i didnt observe she had small round hanging gold earrings and a general air of being fairly welltodo in a vulgar comfortable easygoing way
349,349,sherlock holmes clapped his hands softly together and chuckled
350,350, pon my word watson you are coming along wonderfully you have really done very well indeed it is true that you have missed everything of importance but you have hit upon the method and you have a quick eye for colour never trust to general impressions my boy but concentrate yourself upon details my first glance is always at a womans sleeve in a man it is perhaps better first to take the knee of the trouser as you observe this woman had plush upon her sleeves which is a most useful material for showing traces the double line a little above the wrist where the typewritist presses against the table was beautifully defined the sewingmachine of the hand type leaves a similar mark but only on the left arm and on the side of it farthest from the thumb instead of being right across the broadest part as this was i then glanced at her face and observing the dint of a pincenez at either side of her nose i ventured a remark upon short sight and typewriting which seemed to surprise her
351,351,it surprised me
352,352,but surely it was obvious i was then much surprised and interested on glancing down to observe that though the boots which she was wearing were not unlike each other they were really odd ones the one having a slightly decorated toecap and the other a plain one one was buttoned only in the two lower buttons out of five and the other at the first third and fifth now when you see that a young lady otherwise neatly dressed has come away from home with odd boots halfbuttoned it is no great deduction to say that she came away in a hurry
353,353,i noted in passing that she had written a note before leaving home but after being fully dressed you observed that her right glove was torn at the forefinger but you did not apparently see that both glove and finger were stained with violet ink she had written in a hurry and dipped her pen too deep it must have been this morning or the mark would not remain clear upon the finger all this is amusing though rather elementary but i must go back to business watson would you mind reading me the advertised description of mr hosmer angel
354,354,i held the little printed slip to the light
355,355,they are typewritten i remarked
356,356,not only that but the signature is typewritten look at the neat little hosmer angel at the bottom there is a date you see but no superscription except leadenhall street which is rather vague the point about the signature is very suggestivein fact we may call it conclusive
357,357,of what
358,358,my dear fellow is it possible you do not see how strongly it bears upon the case
359,359,i cannot say that i do unless it were that he wished to be able to deny his signature if an action for breach of promise were instituted
360,360,no that was not the point however i shall write two letters which should settle the matter one is to a firm in the city the other is to the young ladys stepfather mr windibank asking him whether he could meet us here at six oclock tomorrow evening it is just as well that we should do business with the male relatives and now doctor we can do nothing until the answers to those letters come so we may put our little problem upon the shelf for the interim
361,361,well have you solved it i asked as i entered
362,362,yes it was the bisulphate of baryta
363,363,no no the mystery i cried
364,364,oh that i thought of the salt that i have been working upon there was never any mystery in the matter though as i said yesterday some of the details are of interest the only drawback is that there is no law i fear that can touch the scoundrel
365,365,who was he then and what was his object in deserting miss sutherland
366,366,"this is the girls stepfather mr james windibank said holmes ""he has written to me to say that he would be here at six come in"""
367,367,yes sir i am afraid that i am a little late but i am not quite my own master you know i am sorry that miss sutherland has troubled you about this little matter for i think it is far better not to wash linen of the sort in public it was quite against my wishes that she came but she is a very excitable impulsive girl as you may have noticed and she is not easily controlled when she has made up her mind on a point of course i did not mind you so much as you are not connected with the official police but it is not pleasant to have a family misfortune like this noised abroad besides it is a useless expense for how could you possibly find this hosmer angel
368,368,"on the contrary said holmes quietly ""i have every reason to believe that i will succeed in discovering mr hosmer angel"""
369,369,"it was only a joke at first groaned our visitor ""we never thought that she would have been so carried away"""
